개봉연도,영화 제목,별점
1964,쉘부르의 우산,7.8
1967,졸업,8
1972,대부,9.2
1974,대부 2,9
1975,몬티 파이튼의 성배,8.2
1976,감각의 제국,6.6
1977,히틀러: 파시즘의 진화,7.5
1978,미드나잇 익스프레스,7.5
1978,소림36방,7.6
1979,라이프 오브 브라이언,8
1979,Richard Pryor: Live in Concert,8.1
1980,블루 라군,5.8
1981,기동전사 건담,7.1
1981,마작영웅전,5.5
1981,기동전사 건담 II : 슬픈 전사편,7.1
1981,특전 U보트,8.4
1982,간디,8
1982,기동전사 건담 III : 해후의 우주편,7.6
1983,블루 썬더,6.4
1984,바람계곡의 나우시카,8.1
1984,"소년, 소녀를 만나다",6.9
1985,타이페이 스토리,7.6
1986,천공의 성 라퓨타,8
1986,베티 블루 37.2,7.3
1986,스탠 바이 미,8.1
1986,나쁜 피,7.2
1987,라 밤바,6.9
1987,84번가의 연인,7.4
1988,열혈남아,7
1988,이웃집 토토로,8.1
1989,마녀 배달부 키키,7.9
1989,드라이빙 미스 데이지,7.3
1989,영광의 깃발,7.8
1989,신용쌍매,5.3
1990,천장지구,7.3
1990,귀경출사,5.9
1990,아비정전,7.4
1990,옥중룡,6
1991,추억은 방울방울,7.6
1991,터미네이터 2: 심판의 날,8.6
1991,폭풍 속으로,7.2
1992,심사관,6.8
1992,붉은 돼지,7.7
1992,연인,6.8
1992,흐르는 강물처럼,7.2
1992,도성대형 2: 지존무적,5.5
1992,도성대형: 신가전기,5.9
1992,하워즈 엔드,7.4
1992,Roja,8.1
1992,데미지,6.7
1992,죽어야 사는 여자,6.6
1993,심사관 2,6.2
1993,마이 라이프,6.8
1993,동방삼협,6.5
1993,은밀한 유혹,6
1993,길버트 그레이프,7.7
1993,사선에서,7.2
1993,순수의 시대,7.2
1993,아기 공룡 렉스,6.1
1993,동성서취,7
1993,짱구는 못말려 극장판: 액션가면 VS 그래그래 마왕,6.6
1993,쥬라기 공원,8.2
1993,천장지구 2,6.1
1994,가을의 전설,7.5
1994,백조공주,6.4
1994,주성치의 파괴지왕,6.8
1994,바다가 들린다,6.6
1994,짱구는 못말려 극장판: 부리부리 왕국의 보물,6.6
1994,중경삼림,8
1994,폼포코 너구리 대작전,7.3
1994,포레스트 검프,8.8
1994,젊은 남자,6.1
1995,히트,8.3
1995,베이비시터 클럽,5.7
1995,환상의 빛,7.5
1995,쥬만지,7.1
1995,귀를 기울이면,7.8
1995,공각기동대,8
1995,서유기: 선리기연,7.8
1995,라스베가스를 떠나며,7.5
1995,클루리스,6.9
1995,짱구는 못말려 극장판: 흑부리 마왕의 야망,6.6
1995,타락천사,7.6
1996,미션 임파서블,7.2
1996,스페이스 잼,6.5
1996,쉘 위 댄스,7.7
1996,마틸다,7
1996,에브리원 세즈 아이 러브 유,6.7
1996,짱구는 못말려 극장판: 핸더랜드의 대모험,7
1996,아기공룡 둘리: 얼음별 대모험,7.6
1996,로즈 앤 그레고리,6.6
1997,나인 하프 위크 2,2.9
1997,짱구는 못말려 극장판: 암흑 마왕 대추적,6.8
1997,화급,6.6
1997,접속,6.8
1997,모노노케 히메,8.4
1997,쥬라기 공원 2: 잃어버린 세계,6.5
1997,맨 인 블랙,7.3
1997,타이타닉,7.9
1997,나는 네가 지난 여름에 한 일을 알고 있다,5.7
1997,Happy Together,7.7
1997,신세기 에반게리온 엔드 오브 에반게리온,8.1
1998,8월의 크리스마스,7.6
1998,라이언 일병 구하기,8.6
1998,짱구는 못말려 극장판: 전격! 돼지발굽 대작전,6.8
1998,트루먼 쇼,8.2
1998,Jerry Seinfeld: I'm Telling You for the Last Time,7.8
1998,조 블랙의 사랑,7.2
1998,블러드 라인,5.4
1998,원더풀 라이프,7.6
1998,청소년 연애 교과서,6.6
1998,에반게리온: 데스(트루)²,6.6
