개봉연도,영화 제목,별점
1916,링크,5.4
1916,전당포,7.5
1919,양지,7.4
1921,족장,6.2
1922,북극의 나누크,7.6
1923,안전불감증,8.1
1925,벤허,7.8
1926,족장의 아들,6.6
1927,나폴레옹,8.2
1928,재즈 싱어,6.4
1928,스피디,7.6
1928,샴페인,5.5
1928,농부의 아내,5.8
1931,스킨 게임,5.7
1931,공공의 적,7.6
1931,리치 앤 스트레인지,5.7
1932,그랜드 호텔,7.3
1935,바운티호의 반란,7.6
1935,39 계단,7.6
1937,사보타주,7
1937,대지,7.5
1937,굿바이 마이 라이프,7.9
1937,잃어버린 지평선,7.6
1937,위대한 환상,8.1
1938,사라진 여인,7.7
1939,게임의 규칙,7.9
1939,모호크족의 북소리,7
1939,스미스씨 워싱턴에 가다,8.1
1939,소공녀,7.1
1939,인터멧조,6.6
1939,Pygmalion,7.7
1940,애수,7.7
1940,바그다드의 도둑,7.4
1940,레베카,8.1
1940,필라델피아 스토리,7.9
1940,해외 특파원,7.4
1941,북위 49도선,7.3
1941,울프 선장,7.5
1941,해밀턴 부인,7.2
1942,마음의 행로,7.9
1942,파괴 공작원,7.1
1942,정글북,6.7
1943,직업 군인 캔디씨 이야기,8
1943,비밀 첩보원,6.1
1943,의혹의 그림자,7.8
1944,구명 보트,7.6
1944,헨리 5세,7
1944,이중 배상,8.3
1944,가스등,7.8
1944,The Purple Heart,6.5
1945,그들은 희생양이다,7.2
1945,스펠바운드,7.5
1945,시저와 클레오파트라,6.2
1945,즐거운 영혼,7
1945,밀회,8
1945,밀드레드 피어스,7.9
1946,위대한 유산,7.8
1946,살인자들,7.7
1946,명탐정 필립,7.9
1946,백주의 결투,6.7
1946,내일은 영원히,7.3
1946,포스트맨은 벨을 두 번 울린다,7.4
1947,신사협정,7.2
1947,주교의 부인,7.6
1947,패러다인 부인의 재판,6.5
1947,검은 수선화,7.7
1947,다크 패시지,7.5
1947,정복되지 않는 사람들,6.8
1948,흔들리는 대지,7.8
1948,분홍신,8.1
1948,시에라 마드레의 황금,8.2
1948,카르멘의 사랑,6.1
1948,안나 카레니나,6.6
1948,아파치 요새,7.4
1949,배틀그라운드,7.4
1949,황색 리본을 한 여자,7.2
1949,제3의 사나이,8.1
1950,펠리니의 청춘군상,7.1
1950,리오 그란데,7
1950,고독한 영혼,7.9
1951,크리스마스 캐롤,8.1
1951,파리의 미국인,7.2
1951,Rawhide,7.1
1951,형사 이야기,7.5
1951,젊은이의 양지,7.7
1951,사막의 여우,6.9
1951,Fixed Bayonets!,6.9
1951,존 웨인의 진주만,6.6
1951,열차 안의 낯선 자들,7.9
1951,괴물 디 오리지널,7.1
1952,하이 눈,8
1952,금지된 장난,8
1952,말 없는 사나이,7.7
1952,비잉 어니스트,7.5
1952,이키루,8.3
1952,혁명아 자파타,7.3
1952,돈 보더 투 노크,6.9
1952,물랑 루즈,7
1953,모감보,6.6
1953,줄리어스 시저,7.2
1953,제17 포로수용소,8
1953,잔인한 바다,7.4
1953,로마의 휴일,8
1953,타이타닉의 최후,7
1953,빅 히트,7.9
1954,길,8
1954,해저 2만리,7.2
1954,맨발의 백작부인,6.9
1954,글렌 밀러 스토리,7.3
1954,동물 농장,7.2
1954,여름의 폭풍,7.4
1954,이창,8.5
1954,베라 크루스,7
1954,7인의 신부,7.3
1954,하이 앤 마이티,6.7
1955,피크닉,7
1955,댐 버스터,7.4
1955,여자 친구들,7.2
1955,키스 미 데들리,7.5
1955,해리의 소동,7
1955,사냥꾼의 밤,8
1956,킬링,7.9
