개봉연도,영화 제목,별점
1916,링크,7.3
1916,The Fireman,5.8
1916,전당포,7.5
1921,족장,6.2
1923,파리의 여인,6.9
1925,전함 포템킨,7.9
1926,족장의 아들,6.6
1927,날개,7.6
1928,서커스,8.1
1931,시티 라이트,8.5
1936,모던 타임즈,8.5
1937,단 한번뿐인 삶,7.2
1937,백설공주와 일곱 난쟁이,7.6
1937,영 앤 이노센트,6.8
1939,포효하는 20년대,7.9
1939,오즈의 마법사,8.1
1939,바람과 함께 사라지다,8.2
1940,위대한 독재자,8.4
1940,피노키오,7.5
1940,필라델피아 스토리,7.9
1940,쾌걸 조로,7.5
1941,서스피션,7.3
1941,울프 선장,7.5
1941,덤보,7.2
1942,밤비,7.3
1943,의혹의 그림자,7.8
1943,카사블랑카,8.5
1944,이중 배상,8.3
1945,밀회,8
1946,내일은 영원히,7.3
1946,포스트맨은 벨을 두 번 울린다,7.4
1947,뮤어부인과 유령,7.8
1947,정복되지 않는 사람들,6.8
1947,신사협정,7.2
1947,살인광 시대,7.8
1948,흔들리는 대지,7.8
1948,아파치 요새,7.4
1948,미지의 여인에게서 온 편지,7.9
1949,황색 리본을 한 여자,7.2
1949,도둑의 고속도로,7.5
1950,리오 그란데,7
1950,신데렐라,7.3
1950,무서운 아이들,7
1951,열차 안의 낯선 자들,7.9
1951,Rawhide,7.1
1952,라임라이트,8
1952,장진호 전투,6.4
1952,Rebecca,8.5
1953,빅 히트,7.9
1953,제17 포로수용소,8
1953,사우스 스트리트의 소매치기,7.6
1953,로마의 휴일,8
1953,타이타닉의 최후,7
1953,피터 팬,7.3
1954,글렌 밀러 스토리,7.3
1954,해저 2만리,7.2
1954,이창,8.5
1955,레이디와 트램프,7.3
1955,댐 버스터,7.4
1955,디아볼릭,8.1
1955,7년만의 외출,7.1
1955,사냥꾼의 밤,8
1955,에덴의 동쪽,7.8
1956,버마의 하프,8
1956,킬링,7.9
1956,열정의 랩소디,7.3
1956,목로주점,7.4
1956,러브 미 텐더,6.2
1956,자이언트,7.6
1957,성공의 달콤한 향기,8
1957,카날,7.9
1957,가슴에 빛나는 별,7.3
1957,뉴욕의 왕,7
1958,재와 다이아몬드,7.8
1958,Les Misérables,7.4
1958,덩케르크 디 오리지널,7.1
1959,잠자는 숲속의 공주,7.2
1959,리오 브라보,8
1959,지난 여름 갑자기,7.5
1959,인간의 조건 2,8.5
1959,인도의 열정,7.1
1959,벤허,8.1
1959,채플린 회고,7.7
1959,인간의 조건,8.5
1960,코르들리에 박사의 유언,6.7
1960,오르페의 유언,7.2
1960,처녀의 샘,8
1960,한여름밤의 재즈,7.9
1960,싸이코,8.5
1960,얼굴 없는 눈,7.6
1961,인간의 조건 3,8.8
1961,나바론 요새,7.5
1961,밤,8
1961,티파니에서 아침을,7.6
1961,요짐보,8.2
1961,이수,7
1961,101마리의 달마시안 개,7.3
1961,웨스트 사이드 스토리,7.6
1962,닌자,7
1962,아라비아의 로렌스,8.3
1962,페드라,6.8
1962,케이프 피어,6
1962,영혼의 카니발,7
1962,앵무새 죽이기,8.3
1962,하라키리,8.6
1962,하오의 결투,7.4
1963,클레오파트라,7
1965,닥터 지바고,7.9
1965,링고의 귀환,6.7
1965,여명의 혈투,5.8
1965,총잡이 링고,6.5
1967,수집가,7.3
1968,그대 품에 다시 한 번,5.3
1968,로미오와 줄리엣,7.6
1968,황야의 혈투,5.4
1968,2001 스페이스 오디세이,8.3
1970,호건과 사라,7
1970,에어포트,6.6
1971,시계태엽 오렌지,8.3
1971,화녀,6.6
1971,더티 해리,7.7
1972,대부,9.2
1972,서바이벌 게임,7.7
1973,용쟁호투,7.7
1973,꼬마신랑의 한,5.3
1973,추억,7
1973,스팅,8.3
1973,평원의 무법자,7.4
1974,대부 2,9
1974,차이나타운,8.2
1974,비에 젖은 입술,7
1974,엠마뉴엘,5.2
1974,슈가랜드 특급,6.7
1975,나자리노,6.9
1975,록키 호러 픽쳐 쇼,7.4
1975,아이거 빙벽,6.4
1975,엠마뉴엘 2,4.8
1975,더러운 손,6.8
1975,죠스,8.1
1975,배리 린든,8.1
1975,메카고질라의 역습,6.1
1975,미인,5.2
1976,택시 드라이버,8.2
1976,성룡의 소림용호문,6.1
1977,곰돌이 푸의 모험,7.5
1977,서스페리아 1977,7.3
1977,스모키 밴디트,7
1977,캘리포니아,6.7
1977,이레이저 헤드,7.3
1977,끌로드 부인,4.8
1977,스타워즈 에피소드 4: 새로운 희망,8.6
1978,레 미제라블,7.3
1978,벽속의 두 사람,7
1978,우든 크로그,7.8
1978,애니멀 하우스의 악동들,7.4
1978,죠스 2,5.8
1979,가시를 삼킨 장미,8
1979,에이리언,8.5
1979,매드 맥스,6.8
1979,스타 트렉,6.4
1980,그림 리퍼,5.3
1980,마리오네트의 생,7.2
1980,뻐꾸기도 밤에 우는가,6.5
1980,에어플레인,7.7
1980,스타워즈 에피소드 5: 제국의 역습,8.7
1980,영원한 휴가,6.2
1981,할로윈 2: 저주받은 병실,6.5
1981,13일의 금요일 2,6.1
1981,불의 전차,7.1
1981,매드 맥스 2: 로드 워리어,7.6
1981,반금련,5.1
1981,앵무새 몸으로 울었다,6.2
1982,리치몬드 연애 소동,7.1
1982,용소야,6.3
1982,13일의 금요일 3,5.6
1982,코난 - 바바리안,6.9
1982,나는 할렐루야 아줌마였다,6.9
1982,간디,8
1982,애니,6.6
1982,Yeojaui hamjeong,5.4
1982,스타 트렉 2: 칸의 분노,7.7
1982,낮은 데로 임하소서,5.5
1982,투씨,7.4
1982,람보,7.7
1982,할로윈 3: 마녀의 계절,5.1
1982,아벤고 공수군단,7
1983,백구야 훨훨 날지마라,7
1983,대역전,7.5
1983,스타워즈 에피소드 6: 제다이의 귀환,8.3
1983,오마담의 외출,7.5
1983,크리스마스 스토리,7.9
1983,흑삼귀,3.2
1983,나쁜 버릇,6.5
1983,열쇠,5.4
1983,소림사 물장수,5.5
1984,비버리 힐스 캅,7.4
1984,스타 트렉 3: 스팍을 찾아서,6.6
1984,쾌찬차,7
1984,새댁 나팔을 불기 시작했다,5.5
1984,대학 괴짜들,5.5
1984,베스트 키드,7.3
1984,수리세,6.3
1984,아직은 사랑을 몰라요,7
1984,듄,6.3
1984,그렘린,7.3
1984,내가 뭘 잘못 했길래,7.1
1984,13일의 금요일 4,6
1984,마음의 고향,7.4
1984,바람계곡의 나우시카,8.1
1984,"소년, 소녀를 만나다",6.9
1984,영웅무류,6.3
1984,천국보다 낯선,7.4
1985,어우동,5.7
1985,조찬 클럽,7.8
1985,자녀목,5.3
1985,빽 투 더 퓨쳐,8.5
1985,도라에몽: 진구의 우주전쟁,7.2
